v_ref (V),irrad (G),temp (C),current (A)
0,0.001,0.001,0.001
0,0.001,20.001,0.001
0,0.001,40.001,0.001
0,0.001,60.001,0.001
0,0.001,80.001,0.001
0,0.001,100.001,0.001
0,200.001,0.001,1.211
0,200.001,20.001,1.226
0,200.001,40.001,1.241
0,200.001,60.001,1.256
0,200.001,80.001,1.27
0,200.001,100.001,1.285
0,400.001,0.001,2.422
0,400.001,20.001,2.451
0,400.001,40.001,2.481
0,400.001,60.001,2.51
0,400.001,80.001,2.54
0,400.001,100.001,2.569
0,600.001,0.001,3.632
0,600.001,20.001,3.677
0,600.001,40.001,3.721
0,600.001,60.001,3.765
0,600.001,80.001,3.809
0,600.001,100.001,3.854
0,800.001,0.001,4.843
0,800.001,20.001,4.902
0,800.001,40.001,4.961
0,800.001,60.001,5.02
0,800.001,80.001,5.079
0,800.001,100.001,5.138
0,1000.001,0.001,6.053
0,1000.001,20.001,6.127
0,1000.001,40.001,6.201
0,1000.001,60.001,6.275
0,1000.001,80.001,6.348
0,1000.001,100.001,6.422
0.1,0.001,0.001,0.001
0.1,0.001,20.001,0.001
0.1,0.001,40.001,0.001
0.1,0.001,60.001,0.001
0.1,0.001,80.001,0.001
0.1,0.001,100.001,0.001
0.1,200.001,0.001,1.209
0.1,200.001,20.001,1.223
0.1,200.001,40.001,1.238
0.1,200.001,60.001,1.253
0.1,200.001,80.001,1.268
0.1,200.001,100.001,1.282
0.1,400.001,0.001,2.419
0.1,400.001,20.001,2.449
0.1,400.001,40.001,2.478
0.1,400.001,60.001,2.508
0.1,400.001,80.001,2.537
0.1,400.001,100.001,2.567
0.1,600.001,0.001,3.63
0.1,600.001,20.001,3.674
0.1,600.001,40.001,3.718
0.1,600.001,60.001,3.762
0.1,600.001,80.001,3.807
0.1,600.001,100.001,3.851
0.1,800.001,0.001,4.84
0.1,800.001,20.001,4.899
0.1,800.001,40.001,4.958
0.1,800.001,60.001,5.017
0.1,800.001,80.001,5.076
0.1,800.001,100.001,5.134
0.1,1000.001,0.001,6.051
0.1,1000.001,20.001,6.124
0.1,1000.001,40.001,6.198
0.1,1000.001,60.001,6.272
0.1,1000.001,80.001,6.345
0.1,1000.001,100.001,6.417
0.2,0.001,0.001,0.001
0.2,0.001,20.001,0.001
0.2,0.001,40.001,0.001
0.2,0.001,60.001,0.001
0.2,0.001,80.001,0.001
0.2,0.001,100.001,0.001
0.2,200.001,0.001,1.206
0.2,200.001,20.001,1.221
0.2,200.001,40.001,1.235
0.2,200.001,60.001,1.25
0.2,200.001,80.001,1.265
0.2,200.001,100.001,1.279
0.2,400.001,0.001,2.416
0.2,400.001,20.001,2.446
0.2,400.001,40.001,2.475
0.2,400.001,60.001,2.505
0.2,400.001,80.001,2.534
0.2,400.001,100.001,2.563
0.2,600.001,0.001,3.627
0.2,600.001,20.001,3.671
0.2,600.001,40.001,3.715
0.2,600.001,60.001,3.76
0.2,600.001,80.001,3.803
0.2,600.001,100.001,3.844
0.2,800.001,0.001,4.837
0.2,800.001,20.001,4.896
0.2,800.001,40.001,4.955
0.2,800.001,60.001,5.014
0.2,800.001,80.001,5.071
0.2,800.001,100.001,5.116
0.2,1000.001,0.001,6.048
0.2,1000.001,20.001,6.122
0.2,1000.001,40.001,6.195
0.2,1000.001,60.001,6.268
0.2,1000.001,80.001,6.333
0.2,1000.001,100.001,6.36
0.3,0.001,0.001,0.001
0.3,0.001,20.001,0.001
0.3,0.001,40.001,0.001
0.3,0.001,60.001,0.001
0.3,0.001,80.001,0.001
0.3,0.001,100.001,0.001
0.3,200.001,0.001,1.203
0.3,200.001,20.001,1.218
0.3,200.001,40.001,1.233
0.3,200.001,60.001,1.247
0.3,200.001,80.001,1.261
0.3,200.001,100.001,1.269
